arquivo,execucao,tempo_ms 
sample100-1980.gr,1,160,3418 
sample100-1980.gr,2,100,543 
sample100-1980.gr,3,103,9532 
sample100-1980.gr,4,104,0638 
sample100-1980.gr,5,114,0003 
sample100-1980.gr,6,114,3626 
sample100-1980.gr,7,125,9117 
sample100-1980.gr,8,102,9758 
sample100-1980.gr,9,115,7841 
sample100-1980.gr,10,115,8097 
sample100-3960.gr,1,105,5692 
sample100-3960.gr,2,119,1199 
sample100-3960.gr,3,108,0732 
sample100-3960.gr,4,115,5037 
sample100-3960.gr,5,126,3629 
sample100-3960.gr,6,130,4106 
sample100-3960.gr,7,114,3049 
sample100-3960.gr,8,111,3563 
sample100-3960.gr,9,115,9521 
sample100-3960.gr,10,110,2007 
sample100-5940.gr,1,102,5107 
sample100-5940.gr,2,105,4102 
sample100-5940.gr,3,110,2171 
sample100-5940.gr,4,106,4942 
sample100-5940.gr,5,111,6296 
sample100-5940.gr,6,103,5085 
sample100-5940.gr,7,103,7282 
sample100-5940.gr,8,120,9222 
sample100-5940.gr,9,107,3009 
sample100-5940.gr,10,104,4731 
sample100-7920.gr,1,114,347 
sample100-7920.gr,2,108,0368 
sample100-7920.gr,3,114,8253 
sample100-7920.gr,4,119,4185 
sample100-7920.gr,5,114,6728 
sample100-7920.gr,6,119,3502 
sample100-7920.gr,7,124,8999 
sample100-7920.gr,8,130,9176 
sample100-7920.gr,9,123,4087 
sample100-7920.gr,10,112,8261 
sample100-9900.gr,1,117,669 
sample100-9900.gr,2,108,4399 
sample100-9900.gr,3,116,6699 
sample100-9900.gr,4,109,5675 
sample100-9900.gr,5,130,4136 
sample100-9900.gr,6,121,356 
sample100-9900.gr,7,122,2818 
sample100-9900.gr,8,106,0181 
sample100-9900.gr,9,117,5141 
sample100-9900.gr,10,108,6876 
sample200-15920.gr,1,112,6365 
sample200-15920.gr,2,172,6932 
sample200-15920.gr,3,116,5555 
sample200-15920.gr,4,108,025 
sample200-15920.gr,5,122,9232 
sample200-15920.gr,6,105,5208 
sample200-15920.gr,7,116,228 
sample200-15920.gr,8,104,7746 
sample200-15920.gr,9,107,7961 
sample200-15920.gr,10,100,5506 
sample200-23880.gr,1,113,1304 
sample200-23880.gr,2,121,4337 
sample200-23880.gr,3,105,5029 
sample200-23880.gr,4,102,4119 
sample200-23880.gr,5,112,137 
sample200-23880.gr,6,110,6963 
sample200-23880.gr,7,99,9865 
sample200-23880.gr,8,111,5103 
sample200-23880.gr,9,109,2658 
sample200-23880.gr,10,116,7976 
sample200-31840.gr,1,128,0628 
sample200-31840.gr,2,162,4798 
sample200-31840.gr,3,114,9542 
sample200-31840.gr,4,117,4652 
sample200-31840.gr,5,120,8953 
sample200-31840.gr,6,108,2906 
sample200-31840.gr,7,100,9864 
sample200-31840.gr,8,104,8829 
sample200-31840.gr,9,108,5595 
sample200-31840.gr,10,106,2181 
sample200-39800.gr,1,104,9926 
sample200-39800.gr,2,107,1659 
sample200-39800.gr,3,105,1857 
sample200-39800.gr,4,110,9484 
sample200-39800.gr,5,111,5812 
sample200-39800.gr,6,108,6847 
sample200-39800.gr,7,106,1924 
sample200-39800.gr,8,118,2741 
sample200-39800.gr,9,120,072 
sample200-39800.gr,10,112,5525 
sample200-7960.gr,1,104,9926 
sample200-7960.gr,2,107,1659 
sample200-7960.gr,3,105,1857 
sample200-7960.gr,4,110,9484 
sample200-7960.gr,5,111,5812 
sample200-7960.gr,6,108,6847 
sample200-7960.gr,7,106,1924 
sample200-7960.gr,8,118,2741 
sample200-7960.gr,9,120,072 
sample200-7960.gr,10,112,5525 
sample500-149700.gr,1,100,4449 
sample500-149700.gr,2,106,3869 
sample500-149700.gr,3,100,8244 
sample500-149700.gr,4,115,284 
sample500-149700.gr,5,115,5912 
sample500-149700.gr,6,115,5972 
sample500-149700.gr,7,111,8035 
sample500-149700.gr,8,99,1476 
sample500-149700.gr,9,104,9802 
sample500-149700.gr,10,107,2231 
sample500-199600.gr,1,144,9751 
sample500-199600.gr,2,108,3698 
sample500-199600.gr,3,112,267 
sample500-199600.gr,4,140,8495 
sample500-199600.gr,5,117,0239 
sample500-199600.gr,6,108,2739 
sample500-199600.gr,7,107,2701 
sample500-199600.gr,8,105,5649 
sample500-199600.gr,9,105,9255 
sample500-199600.gr,10,113,5948 
sample500-249500.gr,1,110,5697 
sample500-249500.gr,2,100,7958 
sample500-249500.gr,3,101,9788 
sample500-249500.gr,4,110,361 
sample500-249500.gr,5,106,8167 
sample500-249500.gr,6,107,3329 
sample500-249500.gr,7,101,761 
sample500-249500.gr,8,102,4406 
sample500-249500.gr,9,114,4661 
sample500-249500.gr,10,108,7253 
sample500-49900.gr,1,112,0373 
sample500-49900.gr,2,105,8543 
sample500-49900.gr,3,106,3549 
sample500-49900.gr,4,111,7196 
sample500-49900.gr,5,107,589 
sample500-49900.gr,6,106,2513 
sample500-49900.gr,7,105,6292 
sample500-49900.gr,8,117,7523 
sample500-49900.gr,9,116,2268 
sample500-49900.gr,10,115,4722 
sample500-99800.gr,1,109,5148 
sample500-99800.gr,2,112,7687 
sample500-99800.gr,3,102,2265 
sample500-99800.gr,4,102,6173 
sample500-99800.gr,5,113,5464 
sample500-99800.gr,6,100,9226 
sample500-99800.gr,7,118,8951 
sample500-99800.gr,8,104,0962 
sample500-99800.gr,9,110,2377 
sample500-99800.gr,10,131,3988 
