arquivo,execucao,tempo_ms 
sample100-1980.gr,1,160,3418 
sample100-1980.gr,2,100,543 
sample100-1980.gr,3,103,9532 
sample100-1980.gr,4,104,0638 
sample100-1980.gr,5,114,0003 
sample100-1980.gr,6,114,3626 
sample100-1980.gr,7,125,9117 
sample100-1980.gr,8,102,9758 
sample100-1980.gr,9,115,7841 
sample100-1980.gr,10,115,8097 
sample100-3960.gr,1,105,5692 
sample100-3960.gr,2,119,1199 
sample100-3960.gr,3,108,0732 
sample100-3960.gr,4,115,5037 
sample100-3960.gr,5,126,3629 
sample100-3960.gr,6,130,4106 
sample100-3960.gr,7,114,3049 
sample100-3960.gr,8,111,3563 
sample100-3960.gr,9,115,9521 
sample100-3960.gr,10,110,2007 
sample100-5940.gr,1,102,5107 
sample100-5940.gr,2,105,4102 
sample100-5940.gr,3,110,2171 
sample100-5940.gr,4,106,4942 
sample100-5940.gr,5,111,6296 
sample100-5940.gr,6,103,5085 
sample100-5940.gr,7,103,7282 
sample100-5940.gr,8,120,9222 
sample100-5940.gr,9,107,3009 
sample100-5940.gr,10,104,4731 
sample100-7920.gr,1,114,347 
sample100-7920.gr,2,108,0368 
sample100-7920.gr,3,114,8253 
sample100-7920.gr,4,119,4185 
sample100-7920.gr,5,114,6728 
sample100-7920.gr,6,119,3502 
sample100-7920.gr,7,124,8999 
sample100-7920.gr,8,130,9176 
sample100-7920.gr,9,123,4087 
sample100-7920.gr,10,112,8261 
sample100-9900.gr,1,117,669 
sample100-9900.gr,2,108,4399 
sample100-9900.gr,3,116,6699 
sample100-9900.gr,4,109,5675 
sample100-9900.gr,5,130,4136 
sample100-9900.gr,6,121,356 
sample100-9900.gr,7,122,2818 
sample100-9900.gr,8,106,0181 
sample100-9900.gr,9,117,5141 
sample100-9900.gr,10,108,6876 
