arquivo,execucao,tempo_ms 
sample500-149700.gr,1,104,4601 
sample500-149700.gr,2,102,4614 
sample500-149700.gr,3,110,3231 
sample500-149700.gr,4,105,5838 
sample500-149700.gr,5,112,2885 
sample500-149700.gr,6,110,5861 
sample500-149700.gr,7,119,9284 
sample500-149700.gr,8,109,7164 
sample500-149700.gr,9,116,1269 
sample500-149700.gr,10,104,4131 
sample500-199600.gr,1,107,415 
sample500-199600.gr,2,112,3473 
sample500-199600.gr,3,119,488 
sample500-199600.gr,4,109,7647 
sample500-199600.gr,5,121,437 
sample500-199600.gr,6,108,2517 
sample500-199600.gr,7,157,605 
sample500-199600.gr,8,119,8191 
sample500-199600.gr,9,104,6889 
sample500-199600.gr,10,113,087 
sample500-249500.gr,1,103,4293 
sample500-249500.gr,2,110,8009 
sample500-249500.gr,3,114,4162 
sample500-249500.gr,4,112,1375 
sample500-249500.gr,5,103,8258 
sample500-249500.gr,6,107,0753 
sample500-249500.gr,7,135,5854 
sample500-249500.gr,8,125,4492 
sample500-249500.gr,9,103,6551 
sample500-249500.gr,10,108,7844 
sample500-49900.gr,1,114,2041 
sample500-49900.gr,2,113,0062 
sample500-49900.gr,3,110,6012 
sample500-49900.gr,4,114,0315 
sample500-49900.gr,5,106,2506 
sample500-49900.gr,6,107,4692 
sample500-49900.gr,7,121,671 
sample500-49900.gr,8,120,921 
sample500-49900.gr,9,108,9956 
sample500-49900.gr,10,104,9519 
sample500-99800.gr,1,103,7348 
sample500-99800.gr,2,116,2265 
sample500-99800.gr,3,111,5898 
sample500-99800.gr,4,112,6806 
sample500-99800.gr,5,119,7733 
sample500-99800.gr,6,111,158 
sample500-99800.gr,7,126,9118 
sample500-99800.gr,8,108,1797 
sample500-99800.gr,9,117,7481 
sample500-99800.gr,10,113,4934 
