arquivo,execucao,tempo_ms 
sample100-1980.gr,1,121,0753 
sample100-1980.gr,2,126,4998 
sample100-1980.gr,3,120,2777 
sample100-1980.gr,4,115,8262 
sample100-1980.gr,5,119,1726 
sample100-1980.gr,6,115,0541 
sample100-1980.gr,7,133,4726 
sample100-1980.gr,8,120,793 
sample100-1980.gr,9,127,9251 
sample100-1980.gr,10,116,1635 
sample100-3960.gr,1,129,595 
sample100-3960.gr,2,119,4053 
sample100-3960.gr,3,129,7635 
sample100-3960.gr,4,117,2697 
sample100-3960.gr,5,120,3878 
sample100-3960.gr,6,131,323 
sample100-3960.gr,7,117,5305 
sample100-3960.gr,8,115,7619 
sample100-3960.gr,9,118,9357 
sample100-3960.gr,10,133,6685 
sample100-5940.gr,1,122,7569 
sample100-5940.gr,2,115,4247 
sample100-5940.gr,3,118,8808 
sample100-5940.gr,4,130,7325 
sample100-5940.gr,5,130,9161 
sample100-5940.gr,6,115,7782 
sample100-5940.gr,7,116,6251 
sample100-5940.gr,8,119,1081 
sample100-5940.gr,9,130,8614 
sample100-5940.gr,10,114,2859 
sample100-7920.gr,1,119,6036 
sample100-7920.gr,2,123,5911 
sample100-7920.gr,3,121,7804 
sample100-7920.gr,4,124,691 
sample100-7920.gr,5,121,2487 
sample100-7920.gr,6,126,306 
sample100-7920.gr,7,130,2982 
sample100-7920.gr,8,120,0748 
sample100-7920.gr,9,113,5137 
sample100-7920.gr,10,113,4746 
sample100-9900.gr,1,116,2478 
sample100-9900.gr,2,129,4729 
sample100-9900.gr,3,115,1633 
sample100-9900.gr,4,136,7456 
sample100-9900.gr,5,120,3154 
sample100-9900.gr,6,125,821 
sample100-9900.gr,7,129,2926 
sample100-9900.gr,8,122,6698 
sample100-9900.gr,9,128,696 
sample100-9900.gr,10,131,891 
sample200-15920.gr,1,130,3678 
sample200-15920.gr,2,120,3668 
sample200-15920.gr,3,117,2572 
sample200-15920.gr,4,125,1002 
sample200-15920.gr,5,124,8653 
sample200-15920.gr,6,124,7124 
sample200-15920.gr,7,124,96 
sample200-15920.gr,8,121,1992 
sample200-15920.gr,9,128,7649 
sample200-15920.gr,10,134,2165 
sample200-23880.gr,1,128,5187 
sample200-23880.gr,2,118,9155 
sample200-23880.gr,3,135,8608 
sample200-23880.gr,4,121,7174 
sample200-23880.gr,5,123,1557 
sample200-23880.gr,6,137,3811 
sample200-23880.gr,7,128,9106 
sample200-23880.gr,8,130,6457 
sample200-23880.gr,9,143,9362 
sample200-23880.gr,10,137,8869 
sample200-31840.gr,1,133,7102 
sample200-31840.gr,2,141,6984 
sample200-31840.gr,3,133,4555 
sample200-31840.gr,4,124,4514 
sample200-31840.gr,5,141,8979 
sample200-31840.gr,6,125,2308 
sample200-31840.gr,7,124,4438 
sample200-31840.gr,8,126,3515 
sample200-31840.gr,9,158,6091 
sample200-31840.gr,10,127,6851 
sample200-39800.gr,1,132,4593 
sample200-39800.gr,2,124,6677 
sample200-39800.gr,3,159,5344 
sample200-39800.gr,4,141,2815 
sample200-39800.gr,5,123,1212 
sample200-39800.gr,6,130,4439 
sample200-39800.gr,7,154,8179 
sample200-39800.gr,8,135,167 
sample200-39800.gr,9,126,6883 
sample200-39800.gr,10,130,8074 
sample200-7960.gr,1,128,4448 
sample200-7960.gr,2,123,268 
sample200-7960.gr,3,135,4952 
sample200-7960.gr,4,125,2341 
sample200-7960.gr,5,130,0132 
sample200-7960.gr,6,139,2128 
sample200-7960.gr,7,117,8432 
sample200-7960.gr,8,125,8524 
sample200-7960.gr,9,147,0894 
sample200-7960.gr,10,129,3806 
sample500-149700.gr,1,119,2484 
sample500-149700.gr,2,120,8991 
sample500-149700.gr,3,116,7406 
sample500-149700.gr,4,114,561 
sample500-149700.gr,5,117,2851 
sample500-149700.gr,6,111,8585 
sample500-149700.gr,7,123,8963 
sample500-149700.gr,8,114,3636 
sample500-149700.gr,9,122,1814 
sample500-149700.gr,10,117,8717 
sample500-199600.gr,1,127,2468 
sample500-199600.gr,2,119,2062 
sample500-199600.gr,3,116,8601 
sample500-199600.gr,4,113,2841 
sample500-199600.gr,5,111,5203 
sample500-199600.gr,6,126,5484 
sample500-199600.gr,7,116,9059 
sample500-199600.gr,8,120,3906 
sample500-199600.gr,9,111,8118 
sample500-199600.gr,10,119,4334 
sample500-249500.gr,1,118,3132 
sample500-249500.gr,2,115,1648 
sample500-249500.gr,3,121,6348 
sample500-249500.gr,4,118,8574 
sample500-249500.gr,5,127,6319 
sample500-249500.gr,6,114,7973 
sample500-249500.gr,7,120,7105 
sample500-249500.gr,8,135,1938 
sample500-249500.gr,9,120,3048 
sample500-249500.gr,10,125,9773 
sample500-49900.gr,1,125,3049 
sample500-49900.gr,2,117,8648 
sample500-49900.gr,3,118,0049 
sample500-49900.gr,4,117,8686 
sample500-49900.gr,5,112,4915 
sample500-49900.gr,6,115,5291 
sample500-49900.gr,7,132,3633 
sample500-49900.gr,8,125,6666 
sample500-49900.gr,9,131,5835 
sample500-49900.gr,10,119,5006 
sample500-99800.gr,1,131,111 
sample500-99800.gr,2,118,2995 
sample500-99800.gr,3,135,7137 
sample500-99800.gr,4,122,9956 
sample500-99800.gr,5,114,6916 
sample500-99800.gr,6,133,0739 
sample500-99800.gr,7,117,3916 
sample500-99800.gr,8,116,373 
sample500-99800.gr,9,114,9916 
sample500-99800.gr,10,119,0684 
