arquivo,execucao,tempo_ms 
sample200-15920.gr,1,130,3678 
sample200-15920.gr,2,120,3668 
sample200-15920.gr,3,117,2572 
sample200-15920.gr,4,125,1002 
sample200-15920.gr,5,124,8653 
sample200-15920.gr,6,124,7124 
sample200-15920.gr,7,124,96 
sample200-15920.gr,8,121,1992 
sample200-15920.gr,9,128,7649 
sample200-15920.gr,10,134,2165 
sample200-23880.gr,1,128,5187 
sample200-23880.gr,2,118,9155 
sample200-23880.gr,3,135,8608 
sample200-23880.gr,4,121,7174 
sample200-23880.gr,5,123,1557 
sample200-23880.gr,6,137,3811 
sample200-23880.gr,7,128,9106 
sample200-23880.gr,8,130,6457 
sample200-23880.gr,9,143,9362 
sample200-23880.gr,10,137,8869 
sample200-31840.gr,1,133,7102 
sample200-31840.gr,2,141,6984 
sample200-31840.gr,3,133,4555 
sample200-31840.gr,4,124,4514 
sample200-31840.gr,5,141,8979 
sample200-31840.gr,6,125,2308 
sample200-31840.gr,7,124,4438 
sample200-31840.gr,8,126,3515 
sample200-31840.gr,9,158,6091 
sample200-31840.gr,10,127,6851 
sample200-39800.gr,1,132,4593 
sample200-39800.gr,2,124,6677 
sample200-39800.gr,3,159,5344 
sample200-39800.gr,4,141,2815 
sample200-39800.gr,5,123,1212 
sample200-39800.gr,6,130,4439 
sample200-39800.gr,7,154,8179 
sample200-39800.gr,8,135,167 
sample200-39800.gr,9,126,6883 
sample200-39800.gr,10,130,8074 
sample200-7960.gr,1,128,4448 
sample200-7960.gr,2,123,268 
sample200-7960.gr,3,135,4952 
sample200-7960.gr,4,125,2341 
sample200-7960.gr,5,130,0132 
sample200-7960.gr,6,139,2128 
sample200-7960.gr,7,117,8432 
sample200-7960.gr,8,125,8524 
sample200-7960.gr,9,147,0894 
sample200-7960.gr,10,129,3806 
