arquivo,execucao,tempo_ms 
sample100-1980.gr,1,103,888 
sample100-1980.gr,2,137,8466 
sample100-1980.gr,3,106,5064 
sample100-1980.gr,4,114,7889 
sample100-1980.gr,5,115,2951 
sample100-1980.gr,6,117,1898 
sample100-1980.gr,7,112,0444 
sample100-1980.gr,8,105,2746 
sample100-1980.gr,9,107,9953 
sample100-1980.gr,10,119,751 
sample100-3960.gr,1,123,4156 
sample100-3960.gr,2,113,2276 
sample100-3960.gr,3,108,2917 
sample100-3960.gr,4,108,9427 
sample100-3960.gr,5,105,72 
sample100-3960.gr,6,113,7226 
sample100-3960.gr,7,105,3489 
sample100-3960.gr,8,108,3893 
sample100-3960.gr,9,121,6233 
sample100-3960.gr,10,109,0557 
sample100-5940.gr,1,107,9513 
sample100-5940.gr,2,106,547 
sample100-5940.gr,3,112,3506 
sample100-5940.gr,4,111,3943 
sample100-5940.gr,5,117,238 
sample100-5940.gr,6,106,4475 
sample100-5940.gr,7,115,7875 
sample100-5940.gr,8,125,9868 
sample100-5940.gr,9,123,2466 
sample100-5940.gr,10,108,3168 
sample100-7920.gr,1,109,1569 
sample100-7920.gr,2,107,7579 
sample100-7920.gr,3,115,5532 
sample100-7920.gr,4,115,4978 
sample100-7920.gr,5,108,942 
sample100-7920.gr,6,107,2545 
sample100-7920.gr,7,114,2575 
sample100-7920.gr,8,111,7205 
sample100-7920.gr,9,117,9781 
sample100-7920.gr,10,104,8145 
sample100-9900.gr,1,109,6708 
sample100-9900.gr,2,105,9562 
sample100-9900.gr,3,114,2001 
sample100-9900.gr,4,109,7621 
sample100-9900.gr,5,114,67 
sample100-9900.gr,6,105,092 
sample100-9900.gr,7,103,4806 
sample100-9900.gr,8,108,5154 
sample100-9900.gr,9,116,7862 
sample100-9900.gr,10,107,6438 
sample200-15920.gr,1,106,6517 
sample200-15920.gr,2,115,8696 
sample200-15920.gr,3,107,0489 
sample200-15920.gr,4,114,6282 
sample200-15920.gr,5,109,3046 
sample200-15920.gr,6,123,5821 
sample200-15920.gr,7,103,8278 
sample200-15920.gr,8,110,04 
sample200-15920.gr,9,104,3218 
sample200-15920.gr,10,108,4074 
sample200-23880.gr,1,103,7832 
sample200-23880.gr,2,109,1939 
sample200-23880.gr,3,110,1168 
sample200-23880.gr,4,115,9112 
sample200-23880.gr,5,104,0268 
sample200-23880.gr,6,105,7598 
sample200-23880.gr,7,114,7246 
sample200-23880.gr,8,120,4182 
sample200-23880.gr,9,103,1617 
sample200-23880.gr,10,109,4773 
sample200-31840.gr,1,103,8967 
sample200-31840.gr,2,104,6463 
sample200-31840.gr,3,114,3094 
sample200-31840.gr,4,109,6275 
sample200-31840.gr,5,102,0249 
sample200-31840.gr,6,112,4154 
sample200-31840.gr,7,106,4195 
sample200-31840.gr,8,128,9846 
sample200-31840.gr,9,116,1814 
sample200-31840.gr,10,105,566 
sample200-39800.gr,1,103,0747 
sample200-39800.gr,2,105,3458 
sample200-39800.gr,3,106,2007 
sample200-39800.gr,4,108,9458 
sample200-39800.gr,5,106,6525 
sample200-39800.gr,6,106,2598 
sample200-39800.gr,7,104,2546 
sample200-39800.gr,8,114,6411 
sample200-39800.gr,9,129,9636 
sample200-39800.gr,10,103,967 
sample200-7960.gr,1,103,0747
sample200-7960.gr,2,105,3458
sample200-7960.gr,3,106,2007
sample200-7960.gr,4,108,9458
sample200-7960.gr,5,106,6525
sample200-7960.gr,6,106,2598
sample200-7960.gr,7,104,2546
sample200-7960.gr,8,114,6411
sample200-7960.gr,9,129,9636
sample200-7960.gr,10,103,967
sample500-149700.gr,1,104,4601 
sample500-149700.gr,2,102,4614 
sample500-149700.gr,3,110,3231 
sample500-149700.gr,4,105,5838 
sample500-149700.gr,5,112,2885 
sample500-149700.gr,6,110,5861 
sample500-149700.gr,7,119,9284 
sample500-149700.gr,8,109,7164 
sample500-149700.gr,9,116,1269 
sample500-149700.gr,10,104,4131 
sample500-199600.gr,1,107,415 
sample500-199600.gr,2,112,3473 
sample500-199600.gr,3,119,488 
sample500-199600.gr,4,109,7647 
sample500-199600.gr,5,121,437 
sample500-199600.gr,6,108,2517 
sample500-199600.gr,7,157,605 
sample500-199600.gr,8,119,8191 
sample500-199600.gr,9,104,6889 
sample500-199600.gr,10,113,087 
sample500-249500.gr,1,103,4293 
sample500-249500.gr,2,110,8009 
sample500-249500.gr,3,114,4162 
sample500-249500.gr,4,112,1375 
sample500-249500.gr,5,103,8258 
sample500-249500.gr,6,107,0753 
sample500-249500.gr,7,135,5854 
sample500-249500.gr,8,125,4492 
sample500-249500.gr,9,103,6551 
sample500-249500.gr,10,108,7844 
sample500-49900.gr,1,114,2041 
sample500-49900.gr,2,113,0062 
sample500-49900.gr,3,110,6012 
sample500-49900.gr,4,114,0315 
sample500-49900.gr,5,106,2506 
sample500-49900.gr,6,107,4692 
sample500-49900.gr,7,121,671 
sample500-49900.gr,8,120,921 
sample500-49900.gr,9,108,9956 
sample500-49900.gr,10,104,9519 
sample500-99800.gr,1,103,7348 
sample500-99800.gr,2,116,2265 
sample500-99800.gr,3,111,5898 
sample500-99800.gr,4,112,6806 
sample500-99800.gr,5,119,7733 
sample500-99800.gr,6,111,158 
sample500-99800.gr,7,126,9118 
sample500-99800.gr,8,108,1797 
sample500-99800.gr,9,117,7481 
sample500-99800.gr,10,113,4934 
