arquivo,execucao,tempo_ms 
sample100-1980.gr,1,164,8168 
sample100-1980.gr,2,101,6902 
sample100-1980.gr,3,105,4877 
sample100-1980.gr,4,111,2686 
sample100-1980.gr,5,123,3044 
sample100-1980.gr,6,105,3711 
sample100-1980.gr,7,111,6372 
sample100-1980.gr,8,116,4988 
sample100-1980.gr,9,107,1437 
sample100-1980.gr,10,106,1026 
sample100-3960.gr,1,114,923 
sample100-3960.gr,2,106,9058 
sample100-3960.gr,3,122,0981 
sample100-3960.gr,4,110,6049 
sample100-3960.gr,5,106,9374 
sample100-3960.gr,6,112,1997 
sample100-3960.gr,7,117,5586 
sample100-3960.gr,8,109,2711 
sample100-3960.gr,9,102,6887 
sample100-3960.gr,10,107,4681 
sample100-5940.gr,1,107,1824 
sample100-5940.gr,2,124,9514 
sample100-5940.gr,3,111,9059 
sample100-5940.gr,4,112,6792 
sample100-5940.gr,5,104,701 
sample100-5940.gr,6,110,3072 
sample100-5940.gr,7,109,993 
sample100-5940.gr,8,108,6668 
sample100-5940.gr,9,110,1122 
sample100-5940.gr,10,103,1904 
sample100-7920.gr,1,121,8468 
sample100-7920.gr,2,150,1983 
sample100-7920.gr,3,123,0733 
sample100-7920.gr,4,106,3889 
sample100-7920.gr,5,111,3293 
sample100-7920.gr,6,104,4954 
sample100-7920.gr,7,105,8969 
sample100-7920.gr,8,102,7686 
sample100-7920.gr,9,108,3771 
sample100-7920.gr,10,102,6077 
sample100-9900.gr,1,109,9463 
sample100-9900.gr,2,111,2537 
sample100-9900.gr,3,119,7157 
sample100-9900.gr,4,107,269 
sample100-9900.gr,5,110,6788 
sample100-9900.gr,6,105,6675 
sample100-9900.gr,7,119,3256 
sample100-9900.gr,8,109,5319 
sample100-9900.gr,9,114,3848 
sample100-9900.gr,10,108,3613 
